,log2FC,symbol
196383,1.3068877280000004,RILPL2
56652,1.30658945425,TWNK
10220,1.30618046825,GDF11
2651,1.3058759139999996,GCNT2
6158,1.3044717460000008,RPL28
23306,1.3030180542500007,NEMP1
5532,1.2975564022500006,PPP3CB
149420,1.2970934472500009,PDIK1L
10105,1.2957732942500009,PPIF
5604,1.29379070425,MAP2K1
2294,1.293198540749998,FOXF1
27316,1.2930795862500002,RBMX
57650,1.2922540329999999,CIP2A
29090,1.2885234385000004,TIMM21
9889,1.28718367925,ZBED4
54842,1.2870955609999997,MFSD6
192286,1.28683335725,HIGD2A
5287,1.2814182324999983,PIK3C2B
1400,1.2806238810000004,CRMP1
55345,1.2805204832500006,ZGRF1
100505933,1.2801099169999999,ADD3-AS1
4940,1.2781954750000004,OAS3
23322,1.2770602247499996,RPGRIP1L
4908,1.273379292,NTF3
293,1.273106555,SLC25A6
85464,1.2723491982499997,SSH2
79697,1.2721149010000006,RIOX1
3992,1.2711597702499997,FADS1
1028,1.2709590569999998,CDKN1C
4811,1.2700526395000011,NID1
23118,1.269920642499999,TAB2
7298,1.269774270000001,TYMS
100288152,1.2672847582499998,SLC9A3-AS1
84919,1.2669154782500005,PPP1R15B
55783,1.2659413797499983,CMTR2
9252,1.2651029677499999,RPS6KA5
2919,1.2623875072499997,CXCL1
90332,1.2598406285000006,EXOC3L2
54865,1.2575578522499997,GPATCH4
57465,1.2571366289999997,TBC1D24
9415,1.256581624249999,FADS2
3609,1.2557070190000008,ILF3
100289274,1.2544917294999998,DNAJC3-DT
143686,1.2536930142499996,SESN3
4919,1.2534377580000005,ROR1
7840,1.2531348429999998,ALMS1
57333,1.2525135330000006,RCN3
25959,1.2522474270000004,KANK2
84319,1.250031333999999,CMSS1
9188,1.2498836949999976,DDX21
100506457,1.2495252540000004,MIR3681HG
93594,1.2479459897500007,TBC1D31
7025,1.2474082259999992,NR2F1
51352,1.247295759,WT1-AS
93974,1.2471525010000013,ATP5IF1
92935,1.2456093360000007,MARS2
9759,1.24496259,HDAC4
79750,1.2440275982499998,ZNF385D
81558,1.243931495,FAM117A
133396,1.242200509,IL31RA
79635,1.2394232035000003,CCDC121
23204,1.2381053150000003,ARL6IP1
91775,1.2349798379999992,NXPE3
10797,1.2345461800000006,MTHFD2
84058,1.2341645885000005,WDR54
692227,1.2339822112499998,SNORD104
595,1.2325959452500008,CCND1
124222,1.2324685659999997,PAQR4
2,1.231706842,A2M
29969,1.230835194750001,MDFIC
5447,1.2307399662499998,POR
204,1.2306159957499991,AK2
54801,1.2300054459999998,HAUS6
51537,1.2297285102500002,MTFP1
116832,1.2287946489999997,RPL39L
54820,1.2268019769999992,NDE1
25816,1.2251570215000012,TNFAIP8
55646,1.2244425014999996,LYAR
27229,1.2241364580000003,TUBGCP4
389432,1.2238361252499992,SAMD5
54780,1.2237885362500016,NSMCE4A
147991,1.222891314,DPY19L3
55326,1.2227833427499988,AGPAT5
2176,1.2187869025000007,FANCC
2731,1.21307994925,GLDC
3015,1.2126262874999973,H2AZ1
359948,1.2117364792499998,IRF2BP2
2717,1.2110014942500005,GLA
79053,1.2109279617500004,ALG8
3182,1.2106179674999993,HNRNPAB
908,1.2082502599999998,CCT6A
10194,1.2080864480000004,TSHZ1
1155,1.2073967260000007,TBCB
1894,1.2070935504999998,ECT2
26112,1.2061520630000002,CCDC69
2491,1.2049994799999997,CENPI
159090,1.2046771087499994,PABIR2
200916,1.2025453350000017,RPL22L1
4670,1.2022652649999994,HNRNPM
29925,1.19563928125,GMPPB
80032,1.1954548739999993,ZNF556
79611,1.19524924025,ACSS3
79957,1.1948717212500002,PAQR6
23024,1.1939560610000006,PDZRN3
5912,1.1917851165000002,RAP2B
10243,1.1915898275000005,GPHN
153339,1.1901064077499992,TMEM167A
57689,1.1897924382499996,LRRC4C
79077,1.1896156310000006,DCTPP1
64175,1.1890420860000006,P3H1
3720,1.1871966814999997,JARID2
54965,1.1868178580000004,PIGX
9918,1.18652131075,NCAPD2
6119,1.1841232362500005,RPA3
25792,1.1838744995,CIZ1
3615,1.18349234175,IMPDH2
6526,1.1827343374999995,SLC5A3
91687,1.1817897437500005,CENPL
57673,1.1810446139999997,BEND3
84881,1.1807127912500013,RPUSD4
9306,1.1792399765,SOCS6
80346,1.1788344012500005,REEP4
2521,1.1785820174999992,FUS
112616,1.176146825,CMTM7
100507246,1.1753983350000006,SNHG16
23463,1.1751998724999986,ICMT
7027,1.17500989875,TFDP1
84153,1.1747625902499994,RNASEH2C
100293516,1.1733724895000002,ZNF587B
23354,1.1726750844999998,HAUS5
26586,1.1721072264999997,CKAP2
126382,1.1696570254999998,NR2C2AP
117246,1.1685720452500004,FTSJ3
9791,1.1665920727499994,PTDSS1
8402,1.1660905567500004,SLC25A11
55084,1.1651588489999996,SOBP
10202,1.1641024702499996,DHRS2
5601,1.161843149,MAPK9
